CS:GO Revival - item id reference (generated by build_item_ids.py)
Columns: <def_index>  <definition name>
Use the definition name in operation_util.js m_rewardSchema; use the
def_index with `admin.py grant-item --def-index <n>`.

======================================================================
OPERATION (coins / passes / stars / medals) (187)
======================================================================
      874  Five Year Service Coin
      969  Ten Year Service Coin
      970  Fortius Quo Fidelius
      987  CSGO Ten Year Anniversary Memorabilia
      996  Coin CSGO
     1000  Community Season One Spring 2013
     1001  Community Season One Spring 2013 Coin 1
     1002  Community Season One Spring 2013 Coin 2
     1003  Community Season One Spring 2013 Coin 3
     1012  Community Season Two Autumn 2013
     1013  Community Season Two Autumn 2013 Coin 1
     1014  Community Season Two Autumn 2013 Coin 2
     1015  Community Season Two Autumn 2013 Coin 3
     1023  Community Season Three Spring 2014
     1024  Community Season Three Spring 2014 Coin 1
     1025  Community Season Three Spring 2014 Coin 2
     1026  Community Season Three Spring 2014 Coin 3
     1027  Community Season Four Summer 2014
     1028  Community Season Four Summer 2014 Coin 1
     1029  Community Season Four Summer 2014 Coin 2
     1030  Community Season Four Summer 2014 Coin 3
     1040  Map Token Season
     1315  Community Season Five Summer 2014
     1316  Community Season Five Summer 2014 Coin 1
     1317  Community Season Five Summer 2014 Coin 2
     1318  Community Season Five Summer 2014 Coin 3
     1326  Community Season Six 2015
     1327  Community Season Six 2015 Coin 1
     1328  Community Season Six 2015 Coin 2
     1329  Community Season Six 2015 Coin 3
     1331  prestige coin 2015
     1332  prestige coin 2015 level 2
     1335  CommunitySeasonSeven2016
     1336  CommunitySeasonSeven2016 Coin 1
     1337  CommunitySeasonSeven2016 Coin 2
     1338  CommunitySeasonSeven2016 Coin 3
     1339  prestige coin 2016
     1340  prestige coin 2016 level 2
     1341  prestige coin 2016 level 3
     1342  prestige coin 2016 level 4
     1343  prestige coin 2016 level 5
     1344  prestige coin 2016 level 6
     1352  CommunitySeasonEight2017
     1353  Game License
     1357  prestige coin 2017
     1358  prestige coin 2017 level 2
     1359  prestige coin 2017 level 3
     1360  prestige coin 2017 level 4
     1361  prestige coin 2017 level 5
     1362  prestige coin 2017 level 6
     1363  prestige coin 2017 level 7
     1367  prestige coin 2018
     1368  prestige coin 2018 level 2
     1369  prestige coin 2018 level 3
     1370  prestige coin 2018 level 4
     1371  prestige coin 2018 level 5
     1372  prestige coin 2018 level 6
     1376  prestige coin 2019
     1377  prestige coin 2019 level 2
     1378  prestige coin 2019 level 3
     1379  prestige coin 2019 level 4
     1380  prestige coin 2019 level 5
     1381  prestige coin 2019 level 6
     4353  CommunitySeasonEight2017 Coin 1
     4354  CommunitySeasonEight2017 Coin 2
     4355  CommunitySeasonEight2017 Coin 3
     4356  CommunitySeasonEight2017 Coin 4
     4549  CommunitySeasonNine2019
     4550  CommunitySeasonNine2019 Coin 1
     4551  CommunitySeasonNine2019 Coin 2
     4552  CommunitySeasonNine2019 Coin 3
     4553  CommunitySeasonNine2019 Coin 4
     4554  tournament_pass_katowice2019
     4622  tournament_pass_berlin2019
     4627  tournament_pass_berlin2019_pack
     4628  tournament_pass_berlin2019_charge
     4671  CommunitySeasonNine2019_PlusStars1
     4672  CommunitySeasonNine2019_PlusStars10
     4673  CommunitySeasonNine2019_PlusStars100
     4674  prestige coin 2020
     4675  prestige coin 2020 level 2
     4676  prestige coin 2020 level 3
     4677  prestige coin 2020 level 4
     4678  prestige coin 2020 level 5
     4679  prestige coin 2020 level 6
     4699  CommunitySeasonTen2020
     4700  CommunitySeasonTen2020 Coin 1
     4701  CommunitySeasonTen2020 Coin 2
     4702  CommunitySeasonTen2020 Coin 3
     4703  CommunitySeasonTen2020 Coin 4
     4704  CommunitySeasonTen2020_PlusStars1
     4705  CommunitySeasonTen2020_PlusStars10
     4706  CommunitySeasonTen2020_PlusStars100
     4737  prestige coin 2021
     4738  prestige coin 2021 level 2
     4739  prestige coin 2021 level 3
     4740  prestige coin 2021 level 4
     4741  prestige coin 2021 level 5
     4742  prestige coin 2021 level 6
     4758  CommunitySeasonEleven2021
     4759  CommunitySeasonEleven2021 Coin 1
     4760  CommunitySeasonEleven2021 Coin 2
     4761  CommunitySeasonEleven2021 Coin 3
     4762  CommunitySeasonEleven2021 Coin 4
     4763  CommunitySeasonEleven2021_PlusStars1
     4764  CommunitySeasonEleven2021_PlusStars10
     4765  CommunitySeasonEleven2021_PlusStars100
     4796  tournament_pass_stockh2021
     4801  tournament_pass_stockh2021_pack
     4802  tournament_pass_stockh2021_charge
     4819  prestige coin 2022
     4820  prestige coin 2022 level 2
     4821  prestige coin 2022 level 3
     4822  prestige coin 2022 level 4
     4823  prestige coin 2022 level 5
     4824  prestige coin 2022 level 6
     4825  tournament_pass_antwerp2022
     4830  tournament_pass_antwerp2022_pack
     4831  tournament_pass_antwerp2022_charge
     4850  tournament_pass_rio2022
     4855  tournament_pass_rio2022_pack
     4856  tournament_pass_rio2022_charge
     4873  prestige coin 2023
     4874  prestige coin 2023 level 2
     4875  prestige coin 2023 level 3
     4876  prestige coin 2023 level 4
     4877  prestige coin 2023 level 5
     4878  prestige coin 2023 level 6
     4883  tournament_pass_paris2023
     4888  tournament_pass_paris2023_pack
     4889  tournament_pass_paris2023_charge
     6018  Collectible Pin - Overpass
     6035  item 6035
     6036  item 6036
     6037  item 6037
     6038  item 6038
     6039  item 6039
     6040  item 6040
     6041  item 6041
     6042  item 6042
     6043  item 6043
     6044  item 6044
     6045  item 6045
     6046  item 6046
     6047  item 6047
     6048  item 6048
     6049  item 6049
     6050  item 6050
     6051  item 6051
     6052  item 6052
     6053  item 6053
     6054  item 6054
     6055  item 6055
     6056  item 6056
     6057  item 6057
     6058  item 6058
     6059  item 6059
     6060  item 6060
     6061  item 6061
     6062  item 6062
     6063  item 6063
     6064  item 6064
     6065  item 6065
     6066  item 6066
     6067  item 6067
     6068  item 6068
     6069  item 6069
     6070  item 6070
     6071  item 6071
     6072  item 6072
     6073  item 6073
     6074  item 6074
     6075  item 6075
     6076  item 6076
     6077  item 6077
     6078  item 6078
     6079  item 6079
     6080  item 6080
     6081  item 6081
     6082  item 6082
     6083  item 6083
     6084  item 6084
     6085  item 6085
     6086  item 6086
     6087  item 6087
     6088  item 6088
     6118  Commodity Pin - Overpass

======================================================================
CASES (428)
======================================================================
     1210  Gift - 1 Player
     1211  Gift - 9 Players
     1215  Gift - 25 Spectators
     4001  crate_valve_1
     4002  crate_esports_2013
     4003  crate_operation_ii
     4004  crate_valve_2
     4005  crate_esports_2013_winter
     4006  crate_dhw13_promo
     4007  crate_sticker_pack01
     4009  crate_community_1
     4010  crate_valve_3
     4011  crate_community_2
     4012  crate_sticker_pack02
     4013  crate_ems14_promo
     4014  crate_sticker_pack_kat2014_01
     4015  crate_sticker_pack_kat2014_02
     4016  crate_sticker_pack_community01
     4017  crate_community_3
     4018  crate_community_4
     4019  crate_esports_2014_summer
     4020  crate_sticker_pack_cologne2014_01
     4021  crate_sticker_pack_cologne2014_02
     4022  crate_esl14_promo_de_dust2
     4023  crate_esl14_promo_de_inferno
     4024  crate_esl14_promo_de_mirage
     4025  crate_esl14_promo_de_nuke
     4026  crate_esl14_promo_de_cache
     4027  crate_esl14_promo_de_cbble
     4028  crate_esl14_promo_de_overpass
     4029  crate_operation_vanguard
     4030  crate_sticker_pack_dhw2014_01
     4031  crate_dhw14_promo_de_dust2
     4032  crate_dhw14_promo_de_inferno
     4033  crate_dhw14_promo_de_mirage
     4034  crate_dhw14_promo_de_nuke
     4035  crate_dhw14_promo_de_cache
     4036  crate_dhw14_promo_de_cbble
     4037  crate_dhw14_promo_de_overpass
     4061  crate_community_6
     4079  crate_eslkatowice2015_promo_de_dust2
     4080  crate_eslkatowice2015_promo_de_inferno
     4081  crate_eslkatowice2015_promo_de_mirage
     4082  crate_eslkatowice2015_promo_de_nuke
     4083  crate_eslkatowice2015_promo_de_cache
     4084  crate_eslkatowice2015_promo_de_cbble
     4085  crate_eslkatowice2015_promo_de_overpass
     4086  crate_sticker_pack_eslkatowice2015_01
     4087  crate_sticker_pack_eslkatowice2015_02
     4088  crate_stattrak_swap_tool
     4089  crate_community_7
     4090  crate_sticker_pack_enfu_capsule
     4091  crate_community_8
     4109  crate_sticker_pack_eslcologne2015_legends
     4110  crate_sticker_pack_eslcologne2015_challengers
     4111  crate_signature_pack_eslcologne2015_group_1
     4112  crate_signature_pack_eslcologne2015_group_2
     4113  crate_signature_pack_eslcologne2015_group_3
     4114  crate_signature_pack_eslcologne2015_group_4
     4115  crate_signature_pack_eslcologne2015_fnatic
     4116  crate_signature_pack_eslcologne2015_luminositygaming
     4117  crate_signature_pack_eslcologne2015_navi
